bloc;region;annee;depense_totale;yoy_pct;patho;depense;age;sexe
serie_temporelle_yoy;27;2015;25721352121.0;;;;;
serie_temporelle_yoy;27;2016;26415565687.0;2.698977731552521;;;;
serie_temporelle_yoy;27;2017;26934736257.0;1.9653963733038626;;;;
serie_temporelle_yoy;27;2018;27423115960.0;1.8131965293444408;;;;
serie_temporelle_yoy;27;2019;27947620846.0;1.9126378153564216;;;;
serie_temporelle_yoy;27;2020;27797576821.0;-0.5368758429448728;;;;
serie_temporelle_yoy;27;2021;30677328718.0;10.359722775635817;;;;
serie_temporelle_yoy;27;2022;31785922966.0;3.613724839573562;;;;
serie_temporelle_yoy;27;2023;33224953732.0;4.527258080689589;;;;
top_pathologies;27;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);3214791605.0932035;;
top_pathologies;27;2017;;;Maladies cardioneurovasculaires;1645681782.1452794;;
top_pathologies;27;2017;;;Cancers;1600351421.7242587;;
top_pathologies;27;2017;;;Maladies psychiatriques;1329593634.4810247;;
depenses_par_age;27;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);257721914.61268768;0-19;
depenses_par_age;27;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;150354624.51222447;0-19;
depenses_par_age;27;2017;;;Maladies psychiatriques;53977420.489910655;0-19;
depenses_par_age;27;2017;;;Maladies respiratoires chroniques (hors mucoviscidose);23181247.468211178;0-19;
depenses_par_age;27;2017;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);19398238.628857568;0-19;
depenses_par_age;27;2017;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;12954741.130479671;0-19;
depenses_par_age;27;2017;;;Maladies inflammatoires ou rares ou infection VIH;10705625.567354646;0-19;
depenses_par_age;27;2017;;;Maladies neurologiques;10449855.995595926;0-19;
depenses_par_age;27;2017;;;Maternité (avec ou sans pathologies);4124580.0696782516;0-19;
depenses_par_age;27;2017;;;Maladies cardioneurovasculaires;3535184.8529423364;0-19;
depenses_par_age;27;2017;;;Cancers;3382451.9389520185;0-19;
depenses_par_age;27;2017;;;Diabète;2355501.5428677206;0-19;
depenses_par_age;27;2017;;;Traitements psychotropes (hors pathologies);2298065.4776373426;0-19;
depenses_par_age;27;2017;;;Maladies du foie ou du pancréas (hors mucoviscidose);998753.1597369371;0-19;
depenses_par_age;27;2017;;;Traitements du risque vasculaire (hors pathologies);392030.7506321224;0-19;
depenses_par_age;27;2017;;;Insuffisance rénale chronique terminale;67352.45259560022;0-19;
depenses_par_age;27;2017;;;Hospitalisation pour Covid-19;0.0;0-19;
depenses_par_age;27;2017;;;Maternité (avec ou sans pathologies);190181809.15032062;20-39;
depenses_par_age;27;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);164913336.45624486;20-39;
depenses_par_age;27;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;98899533.44831654;20-39;
depenses_par_age;27;2017;;;Maladies psychiatriques;97094538.54863599;20-39;
depenses_par_age;27;2017;;;Maladies neurologiques;24851648.855957463;20-39;
depenses_par_age;27;2017;;;Maladies inflammatoires ou rares ou infection VIH;24648008.91712627;20-39;
depenses_par_age;27;2017;;;Traitements psychotropes (hors pathologies);23122315.860207662;20-39;
depenses_par_age;27;2017;;;Cancers;20057909.989193037;20-39;
depenses_par_age;27;2017;;;Maladies respiratoires chroniques (hors mucoviscidose);11098931.34414795;20-39;
depenses_par_age;27;2017;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;8826307.143843291;20-39;
depenses_par_age;27;2017;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);8394013.066923918;20-39;
depenses_par_age;27;2017;;;Maladies cardioneurovasculaires;8081748.180823712;20-39;
depenses_par_age;27;2017;;;Diabète;7547442.298608636;20-39;
depenses_par_age;27;2017;;;Maladies du foie ou du pancréas (hors mucoviscidose);6609930.002622639;20-39;
depenses_par_age;27;2017;;;Traitements du risque vasculaire (hors pathologies);5317612.520596038;20-39;
depenses_par_age;27;2017;;;Insuffisance rénale chronique terminale;3452267.2392107956;20-39;
depenses_par_age;27;2017;;;Hospitalisation pour Covid-19;0.0;20-39;
depenses_par_age;27;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);373500735.39991623;40-59;
depenses_par_age;27;2017;;;Maladies psychiatriques;236549406.32041538;40-59;
depenses_par_age;27;2017;;;Cancers;148519748.28857315;40-59;
depenses_par_age;27;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;113241159.11984271;40-59;
depenses_par_age;27;2017;;;Maladies cardioneurovasculaires;94722908.04827169;40-59;
depenses_par_age;27;2017;;;Traitements psychotropes (hors pathologies);94087303.28112291;40-59;
depenses_par_age;27;2017;;;Diabète;73616254.71561067;40-59;
depenses_par_age;27;2017;;;Maladies inflammatoires ou rares ou infection VIH;71890220.01968852;40-59;
depenses_par_age;27;2017;;;Maladies neurologiques;69576013.26162198;40-59;
depenses_par_age;27;2017;;;Traitements du risque vasculaire (hors pathologies);66723334.712219834;40-59;
depenses_par_age;27;2017;;;Maladies respiratoires chroniques (hors mucoviscidose);32782053.561706945;40-59;
depenses_par_age;27;2017;;;Maladies du foie ou du pancréas (hors mucoviscidose);27710860.39561029;40-59;
depenses_par_age;27;2017;;;Insuffisance rénale chronique terminale;22899782.47211291;40-59;
depenses_par_age;27;2017;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;22851201.198326208;40-59;
depenses_par_age;27;2017;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);16326567.742647635;40-59;
depenses_par_age;27;2017;;;Maternité (avec ou sans pathologies);15757184.797442697;40-59;
depenses_par_age;27;2017;;;Hospitalisation pour Covid-19;0.0;40-59;
depenses_par_age;27;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);403471068.6242637;60-74;
depenses_par_age;27;2017;;;Cancers;324063967.39865494;60-74;
