bloc;region;annee;depense_totale;yoy_pct;patho;depense;age;sexe
serie_temporelle_yoy;52;2015;33282780634.0;;;;;
serie_temporelle_yoy;52;2016;34277712165.0;2.9893281512171077;;;;
serie_temporelle_yoy;52;2017;35296861768.0;2.973213609164449;;;;
serie_temporelle_yoy;52;2018;36145182153.0;2.403387560559511;;;;
serie_temporelle_yoy;52;2019;37175449566.0;2.850358890540239;;;;
serie_temporelle_yoy;52;2020;37271185317.0;0.257524124436026;;;;
serie_temporelle_yoy;52;2021;41583660557.0;11.570534189673353;;;;
serie_temporelle_yoy;52;2022;43300155921.0;4.127812080533766;;;;
serie_temporelle_yoy;52;2023;45406845350.0;4.865316034527911;;;;
top_pathologies;52;2021;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);4725795772.881619;;
top_pathologies;52;2021;;;Cancers;2792341986.044893;;
top_pathologies;52;2021;;;Maladies cardioneurovasculaires;2243139332.9975233;;
top_pathologies;52;2021;;;Maladies psychiatriques;1843118840.358969;;
depenses_par_age;52;2021;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);405145844.7769737;0-19;
depenses_par_age;52;2021;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;290676223.44401926;0-19;
depenses_par_age;52;2021;;;Maladies psychiatriques;93354587.1748713;0-19;
depenses_par_age;52;2021;;;Maladies respiratoires chroniques (hors mucoviscidose);36228423.84136139;0-19;
depenses_par_age;52;2021;;;Maladies inflammatoires ou rares ou infection VIH;21609588.029216085;0-19;
depenses_par_age;52;2021;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);19034160.73561152;0-19;
depenses_par_age;52;2021;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;18531125.126823705;0-19;
depenses_par_age;52;2021;;;Maladies neurologiques;16031248.207681822;0-19;
depenses_par_age;52;2021;;;Cancers;8117861.138031126;0-19;
depenses_par_age;52;2021;;;Maladies cardioneurovasculaires;6114012.824760845;0-19;
depenses_par_age;52;2021;;;Maternité (avec ou sans pathologies);4898881.806457329;0-19;
depenses_par_age;52;2021;;;Traitements psychotropes (hors pathologies);4461839.034934233;0-19;
depenses_par_age;52;2021;;;Diabète;4051643.022342117;0-19;
depenses_par_age;52;2021;;;Maladies du foie ou du pancréas (hors mucoviscidose);1119646.8677312352;0-19;
depenses_par_age;52;2021;;;Traitements du risque vasculaire (hors pathologies);593493.1928152367;0-19;
depenses_par_age;52;2021;;;Hospitalisation pour Covid-19;515367.11556171946;0-19;
depenses_par_age;52;2021;;;Insuffisance rénale chronique terminale;204516.53667015705;0-19;
depenses_par_age;52;2021;;;Maternité (avec ou sans pathologies);348147200.37890077;20-39;
depenses_par_age;52;2021;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);268864593.2913933;20-39;
depenses_par_age;52;2021;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;200356531.5105804;20-39;
depenses_par_age;52;2021;;;Maladies psychiatriques;142114341.66274247;20-39;
depenses_par_age;52;2021;;;Maladies inflammatoires ou rares ou infection VIH;51613855.78506755;20-39;
depenses_par_age;52;2021;;;Cancers;37666927.31047093;20-39;
depenses_par_age;52;2021;;;Maladies neurologiques;35276010.77626964;20-39;
depenses_par_age;52;2021;;;Traitements psychotropes (hors pathologies);34034913.99530549;20-39;
depenses_par_age;52;2021;;;Maladies respiratoires chroniques (hors mucoviscidose);20163605.945698984;20-39;
depenses_par_age;52;2021;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;14253910.134098863;20-39;
depenses_par_age;52;2021;;;Diabète;13051993.724465735;20-39;
depenses_par_age;52;2021;;;Maladies cardioneurovasculaires;12893845.88207953;20-39;
depenses_par_age;52;2021;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);9011993.587107962;20-39;
depenses_par_age;52;2021;;;Traitements du risque vasculaire (hors pathologies);7416521.683874319;20-39;
depenses_par_age;52;2021;;;Maladies du foie ou du pancréas (hors mucoviscidose);6146146.635631035;20-39;
depenses_par_age;52;2021;;;Insuffisance rénale chronique terminale;4842133.399353062;20-39;
depenses_par_age;52;2021;;;Hospitalisation pour Covid-19;3303034.69519102;20-39;
depenses_par_age;52;2021;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);552704699.2638345;40-59;
depenses_par_age;52;2021;;;Maladies psychiatriques;309743967.6014842;40-59;
depenses_par_age;52;2021;;;Cancers;256365341.0600182;40-59;
depenses_par_age;52;2021;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;218990427.12095678;40-59;
depenses_par_age;52;2021;;;Maladies cardioneurovasculaires;125265006.38159446;40-59;
depenses_par_age;52;2021;;;Traitements psychotropes (hors pathologies);123549288.61563854;40-59;
depenses_par_age;52;2021;;;Maladies inflammatoires ou rares ou infection VIH;116203427.73973638;40-59;
