bloc;region;annee;depense_totale;yoy_pct;patho;depense;age;sexe
serie_temporelle_yoy;94;2015;2780972602.0;;;;;
serie_temporelle_yoy;94;2016;2904409037.0;4.438606655499866;;;;
serie_temporelle_yoy;94;2017;3003956829.0;3.4274715004613876;;;;
serie_temporelle_yoy;94;2018;3068217733.0;2.1392086390732867;;;;
serie_temporelle_yoy;94;2019;3164190641.0;3.1279692757058886;;;;
serie_temporelle_yoy;94;2020;3249774713.0;2.704769772435456;;;;
serie_temporelle_yoy;94;2021;3638911883.0;11.974281430750988;;;;
serie_temporelle_yoy;94;2022;3786435046.0;4.054046037475878;;;;
serie_temporelle_yoy;94;2023;4005200834.0;5.777618930268047;;;;
top_pathologies;94;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);383704419.3662145;;
top_pathologies;94;2017;;;Cancers;198472393.79038003;;
top_pathologies;94;2017;;;Maladies cardioneurovasculaires;188150128.68981203;;
top_pathologies;94;2017;;;Maladies psychiatriques;174327547.4292408;;
depenses_par_age;94;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);25141035.752013206;0-19;
depenses_par_age;94;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;13665280.57535163;0-19;
depenses_par_age;94;2017;;;Maladies psychiatriques;6362881.518866138;0-19;
depenses_par_age;94;2017;;;Maladies respiratoires chroniques (hors mucoviscidose);2896375.4845942156;0-19;
depenses_par_age;94;2017;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;2263029.8071811777;0-19;
depenses_par_age;94;2017;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);1497616.4965945203;0-19;
depenses_par_age;94;2017;;;Maladies neurologiques;529514.036314812;0-19;
depenses_par_age;94;2017;;;Maladies inflammatoires ou rares ou infection VIH;387879.2001522896;0-19;
depenses_par_age;94;2017;;;Diabète;289655.6421623879;0-19;
depenses_par_age;94;2017;;;Maladies cardioneurovasculaires;231734.87393685812;0-19;
depenses_par_age;94;2017;;;Maternité (avec ou sans pathologies);193339.69076616803;0-19;
depenses_par_age;94;2017;;;Cancers;133561.03284321664;0-19;
depenses_par_age;94;2017;;;Traitements psychotropes (hors pathologies);76139.28775100493;0-19;
depenses_par_age;94;2017;;;Maladies du foie ou du pancréas (hors mucoviscidose);27238.722538280104;0-19;
depenses_par_age;94;2017;;;Traitements du risque vasculaire (hors pathologies);12163.103768578896;0-19;
depenses_par_age;94;2017;;;Hospitalisation pour Covid-19;0.0;0-19;
depenses_par_age;94;2017;;;Insuffisance rénale chronique terminale;0.0;0-19;
depenses_par_age;94;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);22004383.1363189;20-39;
depenses_par_age;94;2017;;;Maternité (avec ou sans pathologies);19559532.049177334;20-39;
depenses_par_age;94;2017;;;Maladies psychiatriques;10504928.746184736;20-39;
depenses_par_age;94;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;10503561.602774825;20-39;
