bloc;region;annee;depense_totale;yoy_pct;patho;depense;age;sexe
serie_temporelle_yoy;76;2015;53331573536.0;;;;;
serie_temporelle_yoy;76;2016;55126426979.0;3.365461253057589;;;;
serie_temporelle_yoy;76;2017;56865419906.0;3.1545540356940904;;;;
serie_temporelle_yoy;76;2018;58311818506.0;2.543546855700596;;;;
serie_temporelle_yoy;76;2019;59948218451.0;2.8062920809640346;;;;
serie_temporelle_yoy;76;2020;60063385075.0;0.19211016936915293;;;;
serie_temporelle_yoy;76;2021;67072707855.0;11.669876366854105;;;;
serie_temporelle_yoy;76;2022;70040702524.0;4.425040771301947;;;;
serie_temporelle_yoy;76;2023;73742971590.0;5.285882255009344;;;;
top_pathologies;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);8608662812.209467;;
top_pathologies;76;2023;;;Cancers;5245149450.768017;;
top_pathologies;76;2023;;;Maladies cardioneurovasculaires;4257558272.3423085;;
top_pathologies;76;2023;;;Maladies psychiatriques;3987861998.934412;;
depenses_par_age;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);600113840.664616;0-19;
depenses_par_age;76;2023;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;382255245.91183335;0-19;
depenses_par_age;76;2023;;;Maladies psychiatriques;182966370.7891311;0-19;
depenses_par_age;76;2023;;;Maladies respiratoires chroniques (hors mucoviscidose);76783115.95576814;0-19;
depenses_par_age;76;2023;;;Maladies inflammatoires ou rares ou infection VIH;48015881.733206466;0-19;
depenses_par_age;76;2023;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);44801571.85724225;0-19;
depenses_par_age;76;2023;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;35903042.48794379;0-19;
depenses_par_age;76;2023;;;Maladies neurologiques;29377334.095095076;0-19;
depenses_par_age;76;2023;;;Cancers;10428717.333575187;0-19;
depenses_par_age;76;2023;;;Maladies cardioneurovasculaires;10051251.046708487;0-19;
depenses_par_age;76;2023;;;Traitements psychotropes (hors pathologies);8469071.779481549;0-19;
depenses_par_age;76;2023;;;Maternité (avec ou sans pathologies);8343436.537624225;0-19;
depenses_par_age;76;2023;;;Diabète;7805130.541466144;0-19;
depenses_par_age;76;2023;;;Hospitalisation pour Covid-19;3014301.8304168717;0-19;
depenses_par_age;76;2023;;;Maladies du foie ou du pancréas (hors mucoviscidose);2119697.2633297136;0-19;
depenses_par_age;76;2023;;;Traitements du risque vasculaire (hors pathologies);810397.3329529371;0-19;
depenses_par_age;76;2023;;;Insuffisance rénale chronique terminale;182059.9515611502;0-19;
depenses_par_age;76;2023;;;Maternité (avec ou sans pathologies);490448965.16817176;20-39;
depenses_par_age;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);472345982.8638302;20-39;
depenses_par_age;76;2023;;;Maladies psychiatriques;300778350.3792642;20-39;
depenses_par_age;76;2023;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;286051908.3282773;20-39;
depenses_par_age;76;2023;;;Maladies inflammatoires ou rares ou infection VIH;90707492.18007326;20-39;
depenses_par_age;76;2023;;;Cancers;69188289.35275719;20-39;
depenses_par_age;76;2023;;;Traitements psychotropes (hors pathologies);60152170.79459818;20-39;
depenses_par_age;76;2023;;;Maladies neurologiques;60063150.945555724;20-39;
depenses_par_age;76;2023;;;Maladies respiratoires chroniques (hors mucoviscidose);33680744.191844806;20-39;
depenses_par_age;76;2023;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;30064383.775150307;20-39;
depenses_par_age;76;2023;;;Diabète;25189569.892057;20-39;
depenses_par_age;76;2023;;;Maladies cardioneurovasculaires;23022003.746840168;20-39;
depenses_par_age;76;2023;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);19434440.546616048;20-39;
depenses_par_age;76;2023;;;Insuffisance rénale chronique terminale;10490294.929818733;20-39;
depenses_par_age;76;2023;;;Maladies du foie ou du pancréas (hors mucoviscidose);10024921.17480641;20-39;
depenses_par_age;76;2023;;;Traitements du risque vasculaire (hors pathologies);9982880.074674463;20-39;
depenses_par_age;76;2023;;;Hospitalisation pour Covid-19;511601.6868138727;20-39;
depenses_par_age;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);994312347.6778933;40-59;
depenses_par_age;76;2023;;;Maladies psychiatriques;673033955.3636177;40-59;
depenses_par_age;76;2023;;;Cancers;469443544.4289605;40-59;
depenses_par_age;76;2023;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;322107507.07460266;40-59;
depenses_par_age;76;2023;;;Maladies cardioneurovasculaires;235056160.77225202;40-59;
depenses_par_age;76;2023;;;Maladies inflammatoires ou rares ou infection VIH;227806718.8876989;40-59;
depenses_par_age;76;2023;;;Traitements psychotropes (hors pathologies);213929296.44150317;40-59;
depenses_par_age;76;2023;;;Diabète;169079815.8259774;40-59;
depenses_par_age;76;2023;;;Maladies neurologiques;155240591.90951824;40-59;
depenses_par_age;76;2023;;;Traitements du risque vasculaire (hors pathologies);123149766.7969454;40-59;
depenses_par_age;76;2023;;;Maladies respiratoires chroniques (hors mucoviscidose);88940054.75845012;40-59;
depenses_par_age;76;2023;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;67132803.70778473;40-59;
depenses_par_age;76;2023;;;Insuffisance rénale chronique terminale;66478821.71449264;40-59;
depenses_par_age;76;2023;;;Maternité (avec ou sans pathologies);56187200.64467714;40-59;
depenses_par_age;76;2023;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);38488887.62825511;40-59;
depenses_par_age;76;2023;;;Maladies du foie ou du pancréas (hors mucoviscidose);37880236.97644512;40-59;
depenses_par_age;76;2023;;;Hospitalisation pour Covid-19;3442941.0815311973;40-59;
depenses_par_age;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);1132757458.0983715;60-74;
depenses_par_age;76;2023;;;Cancers;1031485242.0698819;60-74;
depenses_par_age;76;2023;;;Maladies cardioneurovasculaires;668660980.5809323;60-74;
depenses_par_age;76;2023;;;Maladies psychiatriques;456903153.7414216;60-74;
depenses_par_age;76;2023;;;Diabète;386488749.1974669;60-74;
depenses_par_age;76;2023;;;Traitements du risque vasculaire (hors pathologies);259592156.08104017;60-74;
depenses_par_age;76;2023;;;Traitements psychotropes (hors pathologies);215108450.785694;60-74;
depenses_par_age;76;2023;;;Maladies inflammatoires ou rares ou infection VIH;194117207.193475;60-74;
depenses_par_age;76;2023;;;Maladies neurologiques;176796643.88466796;60-74;
depenses_par_age;76;2023;;;Insuffisance rénale chronique terminale;141308726.17195264;60-74;
depenses_par_age;76;2023;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;115132740.57552347;60-74;
depenses_par_age;76;2023;;;Maladies respiratoires chroniques (hors mucoviscidose);114937832.6709423;60-74;
depenses_par_age;76;2023;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;99416113.22358337;60-74;
depenses_par_age;76;2023;;;Maladies du foie ou du pancréas (hors mucoviscidose);47693188.42491856;60-74;
depenses_par_age;76;2023;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);17144209.663106073;60-74;
depenses_par_age;76;2023;;;Hospitalisation pour Covid-19;11656222.215786343;60-74;
depenses_par_age;76;2023;;;Maternité (avec ou sans pathologies);0.0;60-74;
depenses_par_age;76;2023;;;Maladies cardioneurovasculaires;893686576.441606;75-89;
depenses_par_age;76;2023;;;Cancers;891503929.5567226;75-89;
depenses_par_age;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);816521398.0931044;75-89;
depenses_par_age;76;2023;;;Diabète;309101976.9855327;75-89;
depenses_par_age;76;2023;;;Maladies neurologiques;272030666.8920969;75-89;
depenses_par_age;76;2023;;;Maladies psychiatriques;234866285.36969241;75-89;
depenses_par_age;76;2023;;;Traitements psychotropes (hors pathologies);205192517.4246628;75-89;
depenses_par_age;76;2023;;;Traitements du risque vasculaire (hors pathologies);201346040.85793576;75-89;
depenses_par_age;76;2023;;;Insuffisance rénale chronique terminale;158718946.2044324;75-89;
depenses_par_age;76;2023;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;120851995.31228685;75-89;
depenses_par_age;76;2023;;;Maladies inflammatoires ou rares ou infection VIH;118242621.97426869;75-89;
depenses_par_age;76;2023;;;Maladies respiratoires chroniques (hors mucoviscidose);80621861.04616457;75-89;
depenses_par_age;76;2023;;;Maladies du foie ou du pancréas (hors mucoviscidose);27337860.293237634;75-89;
depenses_par_age;76;2023;;;Hospitalisation pour Covid-19;25593911.413310226;75-89;
depenses_par_age;76;2023;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;22745669.388993636;75-89;
depenses_par_age;76;2023;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);6322954.322635167;75-89;
depenses_par_age;76;2023;;;Maternité (avec ou sans pathologies);0.0;75-89;
depenses_par_age;76;2023;;;Maladies cardioneurovasculaires;287521402.62496424;90+;
depenses_par_age;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);153073273.03094402;90+;
depenses_par_age;76;2023;;;Cancers;132573642.19910082;90+;
depenses_par_age;76;2023;;;Maladies neurologiques;109195716.86648242;90+;
depenses_par_age;76;2023;;;Traitements psychotropes (hors pathologies);62141694.693077765;90+;
depenses_par_age;76;2023;;;Maladies psychiatriques;52011487.0458447;90+;
depenses_par_age;76;2023;;;Diabète;47576815.80657555;90+;
depenses_par_age;76;2023;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;40964782.90427685;90+;
depenses_par_age;76;2023;;;Traitements du risque vasculaire (hors pathologies);31569161.46461097;90+;
depenses_par_age;76;2023;;;Insuffisance rénale chronique terminale;18371649.732583635;90+;
depenses_par_age;76;2023;;;Maladies inflammatoires ou rares ou infection VIH;16377280.531534163;90+;
depenses_par_age;76;2023;;;Maladies respiratoires chroniques (hors mucoviscidose);15686284.32445158;90+;
depenses_par_age;76;2023;;;Hospitalisation pour Covid-19;11448816.126537476;90+;
depenses_par_age;76;2023;;;Maladies du foie ou du pancréas (hors mucoviscidose);3921439.9371599704;90+;
depenses_par_age;76;2023;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;1545877.505438826;90+;
depenses_par_age;76;2023;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);729176.6490099028;90+;
depenses_par_age;76;2023;;;Maternité (avec ou sans pathologies);0.0;90+;
depenses_par_sexe;76;2023;;;Cancers;653861381.4100394;;Homme
depenses_par_sexe;76;2023;;;Cancers;646046170.5935501;;Femme
depenses_par_sexe;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);993681072.8033345;;Homme
depenses_par_sexe;76;2023;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);1090897403.4853873;;Femme
depenses_par_sexe;76;2023;;;Maladies cardioneurovasculaires;636221170.1738228;;Homme
depenses_par_sexe;76;2023;;;Maladies cardioneurovasculaires;420365626.408015;;Femme
depenses_par_sexe;76;2023;;;Maladies psychiatriques;443497903.6903027;;Homme
depenses_par_sexe;76;2023;;;Maladies psychiatriques;505687908.5047773;;Femme
