bloc;region;annee;depense_totale;yoy_pct;patho;depense;age;sexe
serie_temporelle_yoy;11;2015;104424048320.0;;;;;
serie_temporelle_yoy;11;2016;107192762414.0;2.651414246568451;;;;
serie_temporelle_yoy;11;2017;109717881435.0;2.3556805181001783;;;;
serie_temporelle_yoy;11;2018;111858941916.0;1.9514234626089033;;;;
serie_temporelle_yoy;11;2019;114207829641.0;2.0998658531598657;;;;
serie_temporelle_yoy;11;2020;114277949553.0;0.06139676432028729;;;;
serie_temporelle_yoy;11;2021;127153923045.0;11.267242317843973;;;;
serie_temporelle_yoy;11;2022;130745946470.0;2.8249410942112974;;;;
serie_temporelle_yoy;11;2023;136090449094.0;4.087700436071495;;;;
top_pathologies;11;2018;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);12112355439.789185;;
top_pathologies;11;2018;;;Cancers;5781888198.766583;;
top_pathologies;11;2018;;;Maladies psychiatriques;4915051320.777495;;
top_pathologies;11;2018;;;Maladies cardioneurovasculaires;4792284748.828863;;
depenses_par_age;11;2018;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);1247852867.4032469;0-19;
depenses_par_age;11;2018;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;757334417.3161811;0-19;
depenses_par_age;11;2018;;;Maladies psychiatriques;299390633.6178998;0-19;
depenses_par_age;11;2018;;;Maladies respiratoires chroniques (hors mucoviscidose);133220310.48369141;0-19;
depenses_par_age;11;2018;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);88599412.28094621;0-19;
depenses_par_age;11;2018;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;77993096.56108767;0-19;
depenses_par_age;11;2018;;;Maladies inflammatoires ou rares ou infection VIH;58824313.25938341;0-19;
depenses_par_age;11;2018;;;Maladies neurologiques;51307998.58186357;0-19;
depenses_par_age;11;2018;;;Maladies cardioneurovasculaires;22333653.794847343;0-19;
depenses_par_age;11;2018;;;Cancers;22083718.85021614;0-19;
depenses_par_age;11;2018;;;Diabète;12691067.151474733;0-19;
depenses_par_age;11;2018;;;Maternité (avec ou sans pathologies);10643042.759524822;0-19;
depenses_par_age;11;2018;;;Traitements psychotropes (hors pathologies);7403317.757307646;0-19;
depenses_par_age;11;2018;;;Maladies du foie ou du pancréas (hors mucoviscidose);6057543.774103347;0-19;
depenses_par_age;11;2018;;;Insuffisance rénale chronique terminale;2315828.9361260864;0-19;
