bloc;region;annee;depense_totale;yoy_pct;patho;depense;age;sexe
serie_temporelle_yoy;24;2015;23359054039.0;;;;;
serie_temporelle_yoy;24;2016;24020420093.0;2.8313049530849677;;;;
serie_temporelle_yoy;24;2017;24505434890.0;2.0191769965810957;;;;
serie_temporelle_yoy;24;2018;24935307093.0;1.75419128421761;;;;
serie_temporelle_yoy;24;2019;25398412436.0;1.8572273494478209;;;;
serie_temporelle_yoy;24;2020;25176764118.0;-0.872685718284627;;;;
serie_temporelle_yoy;24;2021;27814518066.0;10.476937924338547;;;;
serie_temporelle_yoy;24;2022;28899076350.0;3.899252474648285;;;;
serie_temporelle_yoy;24;2023;30110969178.0;4.193534815170663;;;;
top_pathologies;24;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);2842973951.5846353;;
top_pathologies;24;2017;;;Maladies cardioneurovasculaires;1451099333.1243298;;
top_pathologies;24;2017;;;Cancers;1444726415.6505396;;
top_pathologies;24;2017;;;Maladies psychiatriques;1092470908.6365778;;
depenses_par_age;24;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);239361021.2525259;0-19;
depenses_par_age;24;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;143827505.63006198;0-19;
depenses_par_age;24;2017;;;Maladies psychiatriques;52788974.47105355;0-19;
depenses_par_age;24;2017;;;Maladies respiratoires chroniques (hors mucoviscidose);24164632.248126455;0-19;
depenses_par_age;24;2017;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);16496429.727138506;0-19;
depenses_par_age;24;2017;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;12670021.545194402;0-19;
depenses_par_age;24;2017;;;Maladies inflammatoires ou rares ou infection VIH;10072482.083709093;0-19;
depenses_par_age;24;2017;;;Maladies neurologiques;9088193.528852647;0-19;
depenses_par_age;24;2017;;;Cancers;3510790.0797589673;0-19;
depenses_par_age;24;2017;;;Maternité (avec ou sans pathologies);3383444.5884079407;0-19;
depenses_par_age;24;2017;;;Maladies cardioneurovasculaires;3202515.2510364577;0-19;
depenses_par_age;24;2017;;;Diabète;2246197.5269573857;0-19;
depenses_par_age;24;2017;;;Traitements psychotropes (hors pathologies);2021952.2582355305;0-19;
depenses_par_age;24;2017;;;Maladies du foie ou du pancréas (hors mucoviscidose);871639.1212249633;0-19;
depenses_par_age;24;2017;;;Traitements du risque vasculaire (hors pathologies);298589.85700678854;0-19;
depenses_par_age;24;2017;;;Insuffisance rénale chronique terminale;33676.22629780011;0-19;
depenses_par_age;24;2017;;;Hospitalisation pour Covid-19;0.0;0-19;
depenses_par_age;24;2017;;;Maternité (avec ou sans pathologies);176970263.6146325;20-39;
depenses_par_age;24;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);143913064.67555982;20-39;
depenses_par_age;24;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;92115869.87450165;20-39;
depenses_par_age;24;2017;;;Maladies psychiatriques;77084377.73933606;20-39;
depenses_par_age;24;2017;;;Maladies inflammatoires ou rares ou infection VIH;29121194.162323505;20-39;
depenses_par_age;24;2017;;;Maladies neurologiques;20974910.279031023;20-39;
depenses_par_age;24;2017;;;Traitements psychotropes (hors pathologies);19289613.68768665;20-39;
depenses_par_age;24;2017;;;Cancers;18008747.968043994;20-39;
depenses_par_age;24;2017;;;Maladies respiratoires chroniques (hors mucoviscidose);11985002.005217444;20-39;
depenses_par_age;24;2017;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;8998120.68668785;20-39;
depenses_par_age;24;2017;;;Maladies cardioneurovasculaires;8128648.9311732985;20-39;
depenses_par_age;24;2017;;;Diabète;7476394.688266918;20-39;
depenses_par_age;24;2017;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);7355023.928454751;20-39;
depenses_par_age;24;2017;;;Maladies du foie ou du pancréas (hors mucoviscidose);6364781.499778117;20-39;
depenses_par_age;24;2017;;;Traitements du risque vasculaire (hors pathologies);5025391.933135563;20-39;
depenses_par_age;24;2017;;;Insuffisance rénale chronique terminale;2823901.4626224916;20-39;
depenses_par_age;24;2017;;;Hospitalisation pour Covid-19;0.0;20-39;
depenses_par_age;24;2017;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);329329398.71731865;40-59;
depenses_par_age;24;2017;;;Maladies psychiatriques;196261462.5520978;40-59;
depenses_par_age;24;2017;;;Cancers;137310135.6566501;40-59;
depenses_par_age;24;2017;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;105028619.35433954;40-59;
depenses_par_age;24;2017;;;Maladies cardioneurovasculaires;88152544.41713959;40-59;
depenses_par_age;24;2017;;;Maladies inflammatoires ou rares ou infection VIH;82005546.67649822;40-59;
depenses_par_age;24;2017;;;Traitements psychotropes (hors pathologies);81408010.83528508;40-59;
depenses_par_age;24;2017;;;Diabète;68599200.38532628;40-59;
depenses_par_age;24;2017;;;Traitements du risque vasculaire (hors pathologies);63323079.87681519;40-59;
depenses_par_age;24;2017;;;Maladies neurologiques;60022725.99730126;40-59;
depenses_par_age;24;2017;;;Maladies respiratoires chroniques (hors mucoviscidose);30753822.453131687;40-59;
depenses_par_age;24;2017;;;Maladies du foie ou du pancréas (hors mucoviscidose);27057131.054691568;40-59;
depenses_par_age;24;2017;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;22699023.4889496;40-59;
depenses_par_age;24;2017;;;Insuffisance rénale chronique terminale;20375302.688471694;40-59;
depenses_par_age;24;2017;;;Maternité (avec ou sans pathologies);15177165.725144193;40-59;
